festival;artiest;naam;jaar;ervaring;x;y;aantalStemmen;;;;
Bevrijdingsfestival;Heaven;Florence;2018;Had ze al een paar keer live gezien, maar op bevrijdingsfestival waren ze steengoed. Naast de zeer gevoelig nummers ook goed dansbare nummers die live ook goed overkomen.;1499.18;326;1;;;;
Cactusfestival Brugge;Regina Spector;Anja;2010;Ze had net een bandlid verloren en trad toch op. Het was emotioneel, mooi en heel indrukwekkend;1101.57;145.5;1;;;;
Eurosonic Noorderslag;Vant;Danielle;2016;De hype rondom Vant begon, als haringen in een tonnetje stonden we in de zaal tegen de bar geplakt. En bij de eerste tonen van Parking lot onstond een moshpit, heerlijk.;1285.97;345.44;1;;;;
Fields of Rock;Audioslave;Max;2005;Chris Cornell stond in zijn eentje op het podium. Speelde op een volledig glimmende gitaar 'black hole sun' todat Tom Morello erbij kwam om de gitaar te versterken, in de zon.;1808.73;256.28;1;;;;
Forta Rock XL;Rammstein;Dennis;2013;Halverwege Du hast vlogen er vuurpijlen over het publiek en knalde kapot op het podium. Wat een show!;975.32;345.68;1;;;;
Freshtival;Sean Paul;Leonie;2018;Een uur lang terug naar mijn jeugd;680.93;164.86;2;;;;
Glastonbury;Tobias Ben Jacob;Nora;2016;In een kleine tent, waar verder niemand was, behalve een paar mensen die de avond daarvoor hun eigen tent niet hadden gehaald, stonden om 12 uur 's-middags twee gasten in een zwembroek, een met een gitaar en een met een bas, hele mooie muziek te maken. Een echte 'ontdekking'.;1854.13;253.58;1;;;;
Mysteryland;Dead Mou5;Wijnand;2017;Niet een typishe festival band, maar zag ze in een kleine tent aan het eind van de dag, de zon die bijna onder gaat, je hebt al een paar biertjes op, echt een gevoel van vrijheid. Brengt je in extase.;817.48;132.13;1;;;;
Nieuw Zaailand;Kyteman;Tjitske;2012;Ze opende het festival, ik kende ze nog niet, maar werd meegenomen door een paar vriendinnen. Het werd met sorry afgesloten, zo goed en met veel emotie gespeeld.;697.94;260.28;3;;;;
Paaspop;And so i watch you from afar;Anja;2011;Verrassend goed, boeiend van begin tot eind;1089.44;124.78;1;;;;
Parkcity Live;Racoon;Yvette;2016;top;728.09;158.23;1;;;;
Parkfeest;Big Bazzookas;Kaj Moerenhout;2018;geen ervaring gedeeld;1855.09;346.37;1;;;;
Parkpop;Bloodhound Gang;Anja;2000;Feestje!;969.87;103.8;1;;;;
Trailerpop;Green Lizard;Anja;2002;Band was super, festival gezellig;1144.53;396.59;1;;;;
Zwarte Cross;Chef'Special;Esmee;2017;Hij vertelde dat de laatste keer dat zijn vader mee was, was op zwarte cross, daarna overleed zijn vader. Dat gaf het concert een extra lading. Ze brengen zoveel over, het is alsof je in een huiskamer met ze staat, maar het zijn zoveel duizend man.;1732.03;211.67;1;;;;
