festival;artiest;naam;jaar;ervaring;x;y;aantalStemmen;;;;
Lowlands;Paulo Nutini;Kyra;2015;Paulo Nutini en Ben Howard achter elkaar, zittend op de heuvel van de Alpha, echt mooie herinneringen heb ik daaraan. Jammer dat dit jaar Lowlands er niet in zit!;388.47;400.8;1;;;;
Lowlands;Pierce Brothers;Zonnetje 1999;2014;Weinig verwachtingen, fantastisch optreden!;478.47;248.8;1;;;;
Lowlands;Portishead;Stephan Okhuijsen;1998;Het optreden van Portishead op de zondagavond bleek voorlopig het laatste optreden te zijn van de band omdat de zangeres met zwangerschapsverlof ging. Ik was al bijna op weg naar de uitgang toen ik dat hoorde. Heb het optreden met tranen in mijn ogen helemaal tot het eind beleefd. Waanzinnig goed en gevoelig.;378.47;189.8;1;;;;
Lowlands;Queens of the Stone Age;Astrid;2014;Ze waren de afsluiter op zaterdag en we wilden vooraan staan. Ik en een vriendin hadden ons helemaal naar voren gewurmd en het was echt helemaal volgeladen. Ouwe rockers, en jonge mensen zoals wij door elkaar heen. Er stond een paar kerels die hadden medelijden met ons en namen ons een beetje in bescherming want het was 1 grote moshpit, een en al rammen en springen. Dat moet je gewoon een keer meegemaakt hebben. Ik kwam er dankzij die mannen zielsgelukkig en zonder blauwe plekken uit.;388.47;125.8;2;;;;
Lowlands;Snow Patrol;Marit;2010;Mijn eerste festival, hierdoor ben ik ook een echte concertganger geworden. Snowpatrol had ik nog nooit bewust gehoord, maar tijdens het optreden bleek ik heel veel nummers te kennen. Ben een echte fan geworden.;478.47;53.8;1;;;;
Lowlands;Tame Impala;Jorrit;2015;Beste festival optreden ooit.;440.47;409.8;2;;;;
Lowlands;Tash Sultana;Alicia;2017;Beste optreden van Lowlands 2017;378.47;258.8;1;;;;
Lowlands;The Cat Empire;Fieke;2014;geen ervaring gedeeld;410.47;248.8;1;;;;
Lowlands;Tom Odell;Cecilia;2016;Ik en een vriendin hadden de hele dag het album geluisterd en toen we hem live zagen, wat geweldig.;388.47;315.8;2;;;;
Lowlands;Typhoon;Tom;2014;Was lekker weer, tent was helemaal vol gelopen, aan het begin Liefste was iedereen helemaal stil, aan het einde stond iedereen mee te schreeuwen.;410.47;189.8;1;;;;
Lowlands;Vance Joy;Caroline;2014;Was alleen op Lowland met een groepje mannen, die hadden hier geen interesse in, dus stond ik daar alleen. Heb heerlijk staan dansen, op Lowlands ben je nooit echt alleen.;530.51;189.8;1;;;;
Pinkpop;Foo Fighters;Sanne;2011;Ik had ze eerst in de 3 on stage container gezien met 50 man wat al vet gaaf was. Daarna op het grote veld en de zon ging opeens schijnen. Dave growl stop met spelen en zegt There's a fucking rainbow right there!;753.47;126.8;5;;;;
Pinkpop;Foo Fighters;Charlotte;2011;We werden opgehaald en moesten tijdens de Foo Fighters weg. De eerste twee nummers gezien, maar toen moesten we echt weg. Tijdens het inpakken van de tent heb ik staan springen op 'Rope'.;773.48;138.9;5;;;;
Pinkpop;Greenday;Sharon;2017;Ze kwamen op eerste pinksterdag, het was mijn eerste festival, ik had het gekregen voor mijn 16e verjaardag, dus vond het erg spannend, maar was vetgaaf!;853.47;235.8;2;;;;
